desc,fea1,fea2,fea3,fea21,fea22,fea23,similarity,label
model,7,0,0,5,0,0,0.121679,hoax
model,0,0,0,0,0,0,0.275692,unrelated
model,0,0,0,0,0,0,0.0324384,unrelated
model,0,0,0,0,0,0,0.0235918,unrelated
model,0,0,0,0,0,0,0.0,unrelated
model,0,0,0,0,0,0,0.558591,unrelated
model,0,0,0,0,0,0,0.674739,hoax
model,1,0,0,1,0,0,0.968818,hoax
model,10,0,0,10,0,0,0.466817,unrelated
model,2,0,0,2,0,0,0.668913,hoax
model,2,1,0,2,1,0,0.258791,unrelated
model,0,0,0,0,0,0,0.00340803,unrelated
model,2,0,0,2,0,0,0.495937,hoax
model,6,1,0,6,1,0,0.269818,unrelated
model,3,0,0,3,0,0,0.956116,hoax
model,0,0,0,0,0,0,0.998893,hoax
model,0,0,0,0,0,0,0.00956636,unrelated
model,5,1,0,5,1,0,0.733379,hoax
model,2,1,0,2,1,0,0.781781,hoax
model,4,0,0,4,0,0,0.252872,unrelated
model,0,0,0,0,0,0,0.0404648,unrelated
model,0,0,0,0,0,0,0.0650377,unrelated
model,0,0,0,0,0,0,0.716178,fact
model,0,0,0,0,0,0,0.894327,fact
model,0,1,0,0,1,0,0.731731,unrelated
model,16,0,0,15,0,0,0.578924,hoax
model,16,0,0,10,0,0,0.464041,hoax
model,13,1,0,10,1,0,0.354659,hoax
model,6,0,0,3,0,0,0.200646,hoax
model,2,2,1,1,2,1,0.879601,unrelated
model,20,1,0,16,1,0,0.596782,hoax
model,0,0,0,0,0,0,0.0122734,unrelated
model,3,0,1,2,0,1,0.611371,fact
model,0,0,0,0,0,0,0.0,unrelated
model,0,0,0,0,0,0,0.0,unrelated
model,0,0,0,0,0,0,0.0,unrelated
model,0,0,0,0,0,0,0.0,unrelated
model,8,0,0,8,0,0,0.904798,hoax
model,1,0,0,1,0,0,0.855818,hoax
model,0,0,0,0,0,0,0.33688,unknown
model,0,0,0,0,0,0,0.662974,unrelated
model,0,0,0,0,0,0,0.659274,fact
model,0,0,1,0,0,1,0.0486581,unrelated
model,2,0,0,2,0,0,0.452617,unrelated
model,0,0,0,0,0,0,0.779381,hoax
model,0,0,0,0,0,0,0.119351,unrelated
model,0,0,0,0,0,0,0.0844336,unrelated
model,3,1,0,3,1,0,0.368045,hoax
model,3,0,0,3,0,0,0.307864,hoax
model,0,0,0,0,0,0,0.73443,unrelated
model,2,0,0,2,0,0,0.252977,hoax
model,1,5,0,1,5,0,0.31568,unrelated
model,2,1,0,2,1,0,0.56463,hoax
model,0,0,0,0,0,0,0.679011,hoax
model,0,0,0,0,0,0,0.443014,unknown
model,0,0,0,0,0,0,0.479444,unknown
model,1,0,0,1,0,0,0.46631,hoax
model,2,0,0,2,0,0,0.546397,unknown
model,4,0,0,4,0,0,0.539986,hoax
model,1,0,0,1,0,0,0.418056,hoax
model,0,0,0,0,0,0,0.343284,unknown
model,9,0,0,9,0,0,0.650193,hoax
model,2,0,0,2,0,0,0.556758,unknown
model,2,0,0,2,0,0,0.947479,hoax
model,0,0,0,0,0,0,0.43476,unknown
model,0,0,0,0,0,0,0.60576,unknown
model,2,0,0,2,0,0,0.334708,unknown
model,8,1,0,7,1,0,0.339447,unknown
model,3,1,0,3,1,0,0.34557,unrelated
model,4,0,0,4,0,0,0.266364,unknown
model,4,0,0,2,0,0,0.261167,unknown
model,4,0,0,4,0,0,0.965534,hoax
model,25,1,1,12,1,0,0.176952,unrelated
model,2,0,0,0,0,0,0.154398,unrelated
model,0,0,0,0,0,0,0.659454,unrelated
model,0,0,0,0,0,0,0.22811,unrelated
model,0,0,0,0,0,0,0.063047,unrelated
model,1,0,0,1,0,0,0.1601,unrelated
model,0,0,0,0,0,0,0.331768,unrelated
model,0,0,0,0,0,0,0.173437,unrelated
model,0,0,0,0,0,0,0.232834,unrelated
model,0,0,1,0,0,1,0.870148,hoax
model,0,0,0,0,0,0,0.250737,unrelated
model,0,0,0,0,0,0,0.00720924,unrelated
model,9,1,0,7,0,0,0.119539,unrelated
model,0,0,0,0,0,0,0.007831,unrelated
model,2,0,0,1,0,0,0.0793135,unrelated
model,1,0,0,0,0,0,0.2235,unrelated
model,4,0,0,2,0,0,0.0741304,unrelated
model,1,0,0,0,0,0,0.232456,unrelated
model,0,0,0,0,0,0,0.977881,unknown
model,8,0,0,4,0,0,0.258974,unrelated
model,9,2,0,6,0,0,0.344982,hoax
model,18,1,1,7,1,0,0.403677,unrelated
model,0,0,0,0,0,0,0.0182039,unrelated
model,3,0,0,3,0,0,0.842201,hoax
model,16,0,0,15,0,0,0.605422,hoax
model,20,1,0,16,1,0,0.801821,hoax
model,6,0,0,6,0,0,0.579465,unrelated
model,21,0,0,21,0,0,0.359087,unrelated
model,2,0,0,2,0,0,0.550853,unrelated
model,0,0,0,0,0,0,0.352342,unrelated
model,3,1,0,3,1,0,0.383344,unrelated
model,0,0,0,0,0,0,0.542903,unknown
model,0,0,0,0,0,0,0.120467,unrelated
model,1,0,0,1,0,0,0.837808,unknown
model,7,0,0,7,0,0,0.791783,hoax
model,1,0,0,1,0,0,0.459447,hoax
model,13,1,0,12,1,0,0.598193,hoax
